ID,IPO Date,Symbol,Company Name,IPO Price,Current,Return
1,"Dec 21, 2021",NVAC,NorthView Acquisition,$10.00,$10.03,0.30%
2,"Dec 21, 2021",LSPR,Larkspur Health Acquisition,$10.00,$9.98,-0.20%
3,"Dec 21, 2021",SAGA,Sagaliam Acquisition,$10.00,$9.97,-0.30%
4,"Dec 17, 2021",RCAC,Revelstone Capital Acquisition,$10.00,$9.90,-1.00%
5,"Dec 17, 2021",APCA,AP Acquisition,$10.00,$10.11,1.10%
6,"Dec 16, 2021",ADRT,Ault Disruptive Technologies,$10.00,$10.02,0.15%
7,"Dec 16, 2021",SANG,Sangoma Technologies,$22.68,$16.69,-26.41%
8,"Dec 16, 2021",SHAP,Spree Acquisition 1,$10.00,$9.98,-0.20%
9,"Dec 16, 2021",IMMX,Immix Biopharma,$5.00,$3.48,-30.40%
10,"Dec 16, 2021",EMLD,FTAC Emerald Acquisition,$10.00,$10.00,0.00%
11,"Dec 16, 2021",CFFS,CF Acquisition VII,$10.00,$10.02,0.20%
12,"Dec 16, 2021",BNOX,Bionomics,$15.45,$12.75,-17.48%
13,"Dec 15, 2021",GNTA,Genenta Science S.p.A.,$11.50,$11.23,-2.35%
14,"Dec 15, 2021",PRLH,Pearl Holdings Acquisition,$10.00,$9.99,-0.15%
15,"Dec 15, 2021",AHRN,Ahren Acquisition,$10.00,$10.01,0.10%
16,"Dec 15, 2021",BFAC,Battery Future Acquisition,$10.00,$10.03,0.30%
17,"Dec 15, 2021",IOT,Samsara,$23.00,$25.36,10.26%
18,"Dec 15, 2021",EVE,EVe Mobility Acquisition,$10.00,$10.00,0.00%
19,"Dec 15, 2021",IVCP,Swiftmerge Acquisition,$10.00,$9.89,-1.10%
20,"Dec 15, 2021",IVCB,Investcorp Europe Acquisition Corp I,$10.00,$10.05,0.50%
21,"Dec 14, 2021",VINE,Fresh Vine Wine,$10.00,$5.45,-45.50%
22,"Dec 14, 2021",KACL,Kairous Acquisition,$10.00,$10.15,1.50%
23,"Dec 14, 2021",SIDU,Sidus Space,$5.00,$9.35,87.00%
24,"Dec 13, 2021",BRKH,BurTech Acquisition,$10.00,$10.00,0.00%
25,"Dec 13, 2021",ALSA,Alpha Star Acquisition,$10.00,$10.23,2.30%
26,"Dec 10, 2021",PORT,Southport Acquisition,$10.00,$10.01,0.10%
27,"Dec 10, 2021",ATEK,Athena Technology Acquisition II,$10.00,$9.96,-0.40%
28,"Dec 10, 2021",FRBN,Forbion European Acquisition,$10.00,$9.99,-0.10%
29,"Dec 10, 2021",FXCO,Financial Strategies Acquisition,$10.00,$10.27,2.70%
30,"Dec 10, 2021",XPDB,Power & Digital Infrastructure Acquisition II,$10.00,$10.10,1.00%
31,"Dec 10, 2021",GFGD,Growth For Good Acquisition,$10.00,$9.99,-0.14%
32,"Dec 10, 2021",HAIA,Healthcare AI Acquisition,$10.00,$10.01,0.10%
33,"Dec 10, 2021",TCOA,Trajectory Alpha Acquisition,$10.00,$9.93,-0.67%
34,"Dec 9, 2021",WEL,Integrated Wellness Acquisition,$10.00,$10.07,0.72%
35,"Dec 9, 2021",GGAA,Genesis Growth Tech Acquisition,$10.00,$10.03,0.30%
36,"Dec 9, 2021",RJAC,Jackson Acquisition Company,$10.00,$9.96,-0.40%
37,"Dec 9, 2021",NU,Nu Holdings,$9.00,$9.23,2.56%
38,"Dec 9, 2021",HORI,Emerging Markets Horizon,$10.00,$10.04,0.40%
39,"Dec 9, 2021",IGTA,Inception Growth Acquisition,$10.00,$10.05,0.50%
40,"Dec 9, 2021",NRSN,NeuroSense Therapeutics,$6.00,$3.14,-47.67%
41,"Dec 9, 2021",HCP,HashiCorp,$80.00,$84.97,6.21%
42,"Dec 9, 2021",SCUA,Sculptor Acquisition I,$10.00,$10.05,0.48%
43,"Dec 9, 2021",TGAA,Target Global Acquisition I,$10.00,$9.94,-0.60%
44,"Dec 8, 2021",CING,Cingulate,$6.00,$2.75,-54.10%
45,"Dec 8, 2021",REFI,Chicago Atlantic Real Estate Finance,$16.00,$16.02,0.12%
46,"Dec 7, 2021",APXI,APx Acquisition I,$10.00,$10.05,0.50%
